temp_c,temp_f,pressure_hpa,humidity
2026-02-04T19:18:03 20.45,68.81,994.01,37.85
2026-02-04T19:19:49 20.39,68.7,993.99,37.47
2026-02-04T19:20:49 20.36,68.65,993.96,37.47
2026-02-04T19:21:49 20.35,68.63,993.97,37.72
2026-02-04T19:22:50 20.34,68.61,993.92,37.3
2026-02-04T19:23:50 20.32,68.58,993.93,38.08
2026-02-04T19:24:50 20.35,68.63,993.93,37.75
2026-02-04T19:25:50 20.36,68.65,993.96,37.63
2026-02-04T19:26:51 20.34,68.61,993.94,38.05
2026-02-04T19:27:51 20.33,68.59,993.92,37.87
2026-02-04T19:28:51 20.34,68.61,993.89,37.58
2026-02-04T19:29:51 20.36,68.65,993.9,37.82
2026-02-04T19:30:52 20.33,68.59,993.85,37.67
2026-02-04T19:31:52 20.36,68.65,993.9,37.46
2026-02-04T19:32:52 20.37,68.67,993.91,37.5
2026-02-04T19:33:53 20.39,68.7,993.91,37.71
2026-02-04T19:34:53 20.41,68.74,993.9,37.47
2026-02-04T19:35:53 20.4,68.72,993.86,37.72
2026-02-04T19:36:53 20.33,68.59,993.87,37.53
2026-02-04T19:37:53 20.31,68.56,993.92,38.15
2026-02-04T19:38:54 20.28,68.5,993.87,37.74
2026-02-04T19:39:54 20.21,68.38,993.84,38.04
2026-02-04T19:40:54 20.16,68.29,993.9,37.85
2026-02-04T19:41:54 20.09,68.16,993.9,38.12
2026-02-04T19:42:55 20.15,68.27,993.92,38.37
2026-02-04T19:43:55 20.13,68.23,993.9,39.39
2026-02-04T19:44:55 20.18,68.32,993.85,39.88
2026-02-04T19:45:55 20.21,68.38,993.84,39.6
2026-02-04T19:46:56 20.22,68.4,993.84,39.6
2026-02-04T19:47:56 20.15,68.27,993.84,39.87
2026-02-04T19:48:56 20.12,68.22,993.86,39.6
2026-02-04T19:49:56 20.08,68.14,993.84,39.81
2026-02-04T19:50:56 20.04,68.07,993.82,39.67
2026-02-04T19:51:57 19.99,67.98,993.82,39.44
2026-02-04T19:52:57 19.98,67.96,993.79,39.19
2026-02-04T19:53:57 19.97,67.95,993.76,39.43
2026-02-04T19:54:57 19.95,67.91,993.78,39.29
2026-02-04T19:55:58 19.92,67.86,993.73,39.0
2026-02-04T19:56:58 19.88,67.78,993.76,39.0
2026-02-04T19:57:58 19.86,67.75,993.73,39.02
2026-02-04T19:58:58 19.79,67.62,993.71,39.68
2026-02-04T19:59:59 19.79,67.62,993.72,39.25
